department code,department name,course code,course name
CAS,College of Arts and Sciences,BSPSY,Bachelor of Science in Psychology
COA,College of Accountancy,BSA,Bachelor of Science in Accountancy
CBA,College of Business Administration,BSBA,Bachelor of Science in Business Administration
CCS,College of Computer Studies,BSIT,Bachelor of Science in Information Technology
CCS,College of Computer Studies,BSCS,Bachelor of Science in Computer Science
CCA,College of Customs Administration,BSCA,Bachelor of Science in Customs Administration
CCJ,College of Criminal Justice,BSCRIM,Bachelor of Science in Criminology
COED,College of Education,BSED,Bachelor in Secondary Education
COED,College of Education,BEED,Bachelor in Elementary Education
COE,College of Engineering,BSIE,Bachelor of Science in Industrial Engineering
COE,College of Engineering,BSCPE,Bachelor of Science in Computer Engineering
CREM,College of Real Estate Management,BSREM,Bachelor of Science in Real Estate Management
CTHM,College of Tourism and Hospitality Management,BSHM,Bachelor of Science in Hospitality Management
CTHM,College of Tourism and Hospitality Management,BSTM,Bachelor of Science in Tourism Management
